campagne,date,jour,variable,groupe,valeur,Année
2020-2021,2020-10-13,1,ACTE(VGP),65 ans et plus,296119,2021
2020-2021,2020-10-13,1,DOSES(J07E1),65 ans et plus,1685461,2021
2020-2021,2020-10-13,1,ACTE(VGP),moins de 65 ans,75969,2021
2020-2021,2020-10-13,1,DOSES(J07E1),moins de 65 ans,479784,2021
2020-2021,2020-10-14,2,ACTE(VGP),65 ans et plus,242598,2021
2020-2021,2020-10-14,2,DOSES(J07E1),65 ans et plus,1120461,2021
2020-2021,2020-10-14,2,ACTE(VGP),moins de 65 ans,55324,2021
2020-2021,2020-10-14,2,DOSES(J07E1),moins de 65 ans,310336,2021
2020-2021,2020-10-15,3,ACTE(VGP),65 ans et plus,181179,2021
2020-2021,2020-10-15,3,DOSES(J07E1),65 ans et plus,742863,2021
2020-2021,2020-10-15,3,ACTE(VGP),moins de 65 ans,41626,2021
2020-2021,2020-10-15,3,DOSES(J07E1),moins de 65 ans,207436,2021
2020-2021,2020-10-16,4,ACTE(VGP),65 ans et plus,140304,2021
2020-2021,2020-10-16,4,DOSES(J07E1),65 ans et plus,543197,2021
2020-2021,2020-10-16,4,ACTE(VGP),moins de 65 ans,36171,2021
2020-2021,2020-10-16,4,DOSES(J07E1),moins de 65 ans,167572,2021
2020-2021,2020-10-17,5,ACTE(VGP),65 ans et plus,48785,2021
2020-2021,2020-10-17,5,DOSES(J07E1),65 ans et plus,243363,2021
2020-2021,2020-10-17,5,ACTE(VGP),moins de 65 ans,18479,2021
2020-2021,2020-10-17,5,DOSES(J07E1),moins de 65 ans,92822,2021
2020-2021,2020-10-18,6,ACTE(VGP),65 ans et plus,668,2021
2020-2021,2020-10-18,6,DOSES(J07E1),65 ans et plus,2095,2021
2020-2021,2020-10-18,6,ACTE(VGP),moins de 65 ans,279,2021
2020-2021,2020-10-18,6,DOSES(J07E1),moins de 65 ans,937,2021
2020-2021,2020-10-19,7,ACTE(VGP),65 ans et plus,91910,2021
2020-2021,2020-10-19,7,DOSES(J07E1),65 ans et plus,296870,2021
2020-2021,2020-10-19,7,ACTE(VGP),moins de 65 ans,22687,2021
2020-2021,2020-10-19,7,DOSES(J07E1),moins de 65 ans,98209,2021
2020-2021,2020-10-20,8,ACTE(VGP),65 ans et plus,97894,2021
2020-2021,2020-10-20,8,DOSES(J07E1),65 ans et plus,304510,2021
2020-2021,2020-10-20,8,ACTE(VGP),moins de 65 ans,22361,2021
2020-2021,2020-10-20,8,DOSES(J07E1),moins de 65 ans,98224,2021
2020-2021,2020-10-21,9,ACTE(VGP),65 ans et plus,73871,2021
2020-2021,2020-10-21,9,DOSES(J07E1),65 ans et plus,221297,2021
2020-2021,2020-10-21,9,ACTE(VGP),moins de 65 ans,18952,2021
